CLG. | SFAT Number,SmashTag,Path
8,snek,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP <- ASAPferq
8,BCM | veggies,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter <- ushi
8,rickey_kc,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP <- ASAPferq
8,HorseGirl420,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter <- Hamburglar
8,dirtyDev,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- hHerb
8,Big Pivot,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering
8,TNC | n3zModGod,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- kippu
8,JCobbs,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering
8,Ahung,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Jakespeare <- Talen <- jtetter <- SRN | Soulrifle211
8,gbio,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering
9,Night,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- LewdCelebs4Free <- ImYourDade <- BEBO
9,bensw,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering <- Big Pivot
9,DCG | Spots,CLG. | SFAT <- bobby big ballz <- cliché <- Megaman <- moscow mich <- Pawn <- pointykitty <- Kettering <- Big Pivot
9,CID,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP <- ASAPferq <- snek
9,TT | Dair,CLG. | SFAT <- SANS | Blues Clues <- Young <- CowCowCowCowCow <- Maruf <- Arctic <- STP <- ASAPferq <- snek
NA,Funktrocious,NA
NA,melatonin,NA
NA,Yuki08,NA
NA,Snoos,NA
NA,ButterRoyaleTV,NA
NA,PP | Droze,NA
NA,$W@6 | rocketf20,NA
NA,Tomz,NA
NA,glum oinkin',NA
NA,BABA | Babo,NA
NA,lemon,NA
NA,Rose,NA
NA,LVD | Super,NA
NA,Frost | JJK,NA
NA,Fishpaste,NA
NA,Just Jason,NA
NA,Raffshot,NA
NA,Badboi,NA
NA,Hellraid,NA
NA,Sleeepy,NA
NA,CarltonDanks,NA
NA,N8V,NA
NA,Blu-J,NA
NA,Abhi,NA
NA,KLAWHAU5,NA
NA,ACAB | Mugen,NA
NA,Special K,NA
NA,Daddy Icey,NA
NA,Afron,NA
NA,early,NA
NA,flowjam,NA
NA,LoneCubone,NA
NA,Sax,NA
NA,8167263631 | Notto,NA
NA,Snickerdoodle,NA
