SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
1194651,gsm | Pound,EC,4,4,0,1,0,0,0,0,0,-1,0.0,5.0,79.0
1222140,mangine,EC,8,14,0,1,0,0,0,0,0,-1,0.0,9.0,54.0
1234414,Paran,EC,4,3,0,0,1,0,0,0,0,-1,0.0,9.0,54.0
1273646,PierreLuk,EC,0,7,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
1298609,Beck,WC,2,0,0,0,1,0,0,0,0,-1,0.0,7.0,67.0
1342054,butterfli,WC,0,4,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
1375808,Epoodle,EC,2,0,0,0,1,0,0,0,0,-1,0.0,7.0,67.0
1388856,SHRD#209 | Shredder,WC,2,1,0,0,1,0,0,0,0,-1,0.0,7.0,67.0
1395471,MIB | handsofgnatz,WC,2,9,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
1524828,Dhar Mann | Ben Snape,EC,12,8,0,0,0,1,0,0,0,-1,0.0,22.0,26.0
1533315,Essey,WC,0,4,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
1597235,Peyton,EC,3,6,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
1621804,Malcolm X,EC,1,8,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
1640788,Special K,WC,0,4,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
1656950,Bonn Esports | CarlHank,EC,6,6,0,1,0,0,0,0,0,-1,0.0,7.0,67.0
1658710,boip,EC,1,1,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
1806216,Guhbs,WC,1,4,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
1844994,Flame,WC,1,3,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
1931842,tpyo,EC,1,2,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
1940854,JoffDuchar,EC,0,4,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
1974127,aujory,WC,3,2,0,0,1,0,0,0,0,-1,0.0,8.0,63.0
1986398,Fruitility,WC,0,12,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
2019913,jatpuan,EC,1,2,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
2021066,Schweppes,EC,0,5,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
2029721,Ghost Rider,EC,8,5,0,0,1,0,0,0,0,17,10.0,23.0,24.0
2088626,hermionecraft,EC,4,12,0,1,0,0,0,0,0,-1,0.0,5.0,79.0
2146437,actually hmhh | LionTimeMachine,WC,2,2,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
2207286,davidparkpark,WC,2,1,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
2244671,scmu,EC,2,16,0,1,0,0,0,0,0,-1,0.0,3.0,93.0
2263926,Robot,EC,8,9,0,1,0,0,0,0,0,-1,0.0,9.0,54.0
2267517,H20,EC,1,6,0,1,0,0,0,0,0,-1,0.0,2.0,105.0
