Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
286.0,-46.0,Funk,3,9,25.0,4.0
286.0,-46.0,Potts,3,5,37.5,4.0
286.0,-46.0,Riggs,3,4,42.86,4.0
286.0,-46.0,Bassline,3,15,16.67,4.0
286.0,-46.0,BubbleFuel,3,6,33.33,4.0
286.0,New,FoUr,3,4,42.86,4.0
286.0,New,Echo_SSBM | Commas,3,2,60.0,4.0
286.0,-46.0,Oz,3,7,30.0,4.0
286.0,-46.0,FestivalDeLaCombo,3,4,42.86,4.0
286.0,-46.0,thesiscat,3,6,33.33,4.0
286.0,-46.0,Moonking34,3,6,33.33,4.0
286.0,-46.0,Ath | Bumble,3,8,27.27,4.0
286.0,-46.0,Comp... | PJThePuff,3,5,37.5,4.0
286.0,-46.0,Minty Hippo,3,5,37.5,4.0
286.0,New,hestoned,3,4,42.86,4.0
286.0,-46.0,Boyz II Mensch,3,4,42.86,4.0
286.0,-46.0,geg :),3,5,37.5,4.0
286.0,-46.0,Amity,3,11,21.43,4.0
286.0,New,jatpuan,3,4,42.86,4.0
312.0,New,WU | nerodero,2,1,66.67,3.0
312.0,-49.0,Raffshot,2,10,16.67,3.0
312.0,New,Danimals,2,3,40.0,3.0
312.0,-49.0,Elk_G | Karm,2,2,50.0,3.0
312.0,-49.0,SUPERUNKNOWN,2,2,50.0,3.0
312.0,-49.0,Old McJonald,2,6,25.0,3.0
312.0,-49.0,Drewski,2,10,16.67,3.0
312.0,3.0,Roz's Friend | aujory,1,8,11.11,3.0
312.0,-49.0,sisig,2,10,16.67,3.0
312.0,New,doctahdylan,2,4,33.33,3.0
312.0,New,Fiyah,2,12,14.29,3.0
312.0,-49.0,Skeeter,2,3,40.0,3.0
312.0,-49.0,24 | Mamba!,2,5,28.57,3.0
312.0,-49.0,Radamen,2,2,50.0,3.0
312.0,-49.0,Thad <3,2,4,33.33,3.0
312.0,New,pointykitty,2,6,25.0,3.0
312.0,-49.0,Electroman,2,4,33.33,3.0
312.0,New,RPG,2,4,33.33,3.0
312.0,New,WA | AodhaN,2,2,50.0,3.0
312.0,New,IHOP Dan,2,2,50.0,3.0
312.0,New,Edier,2,6,25.0,3.0
312.0,-49.0,Phaunsey,2,2,50.0,3.0
312.0,-49.0,DCG | Spots,2,15,11.76,3.0
312.0,New,IDK,2,7,22.22,3.0
312.0,-49.0,Ratt,2,4,33.33,3.0
312.0,-49.0,ItsDad,2,7,22.22,3.0
312.0,-49.0,maso soup,2,5,28.57,3.0
339.0,New,AzLuFa,1,8,11.11,2.0
339.0,-59.0,King,1,4,20.0,2.0
339.0,New,mello,1,21,4.55,2.0
339.0,-59.0,Pingy,1,1,50.0,2.0
339.0,New,ArtlexPlays,1,8,11.11,2.0
339.0,-59.0,El Link,1,0,100.0,2.0
339.0,-59.0,$W@6 | rocketf20,1,4,20.0,2.0
339.0,-59.0,Proobie44,1,7,12.5,2.0
339.0,-59.0,100 Days Of Solitude,1,0,100.0,2.0
339.0,-59.0,Okami,1,10,9.09,2.0
339.0,-59.0,Salamanderman,1,4,20.0,2.0
339.0,-59.0,Brandt,1,5,16.67,2.0
339.0,New,MrDrBoi,1,8,11.11,2.0
339.0,-59.0,blazerboy,0,19,0.0,2.0
339.0,-59.0,TC | BuyMyMixTape,1,2,33.33,2.0
339.0,-59.0,Phil,1,0,100.0,2.0
339.0,-59.0,BABA | Babo,1,5,16.67,2.0
339.0,New,Fleece,1,4,20.0,2.0
339.0,-59.0,SpiritGun,1,4,20.0,2.0
339.0,-24.0,Zant,0,14,0.0,2.0
339.0,-59.0,SU | wild flower,1,3,25.0,2.0
339.0,New,FreeHops,1,1,50.0,2.0
339.0,New,Clay,1,3,25.0,2.0
339.0,-59.0,Joobey,1,5,16.67,2.0
339.0,-59.0,Alex AF,1,8,11.11,2.0
339.0,-59.0,Ari,1,5,16.67,2.0
339.0,-59.0,Neee,1,11,8.33,2.0
339.0,-59.0,DJAN,1,3,25.0,2.0
339.0,-59.0,ushi,1,1,50.0,2.0
339.0,New,Saya | QQQ#348,1,11,8.33,2.0
339.0,-59.0,MacTheStampede,1,7,12.5,2.0
339.0,-59.0,Churro,1,1,50.0,2.0
339.0,-59.0,SHRD#209 | Shredder,1,4,20.0,2.0
339.0,-59.0,deep_cuts,1,7,12.5,2.0
339.0,-59.0,Ders,1,6,14.29,2.0
339.0,-59.0,Bebop,1,7,12.5,2.0
339.0,-59.0,Divine Senator Kelly,1,1,50.0,2.0
339.0,-59.0,Zakqary,1,9,10.0,2.0
339.0,-59.0,Soltrain,1,1,50.0,2.0
339.0,-59.0,Stoon,1,8,11.11,2.0
339.0,New,bluecd,1,13,7.14,2.0
339.0,-59.0,The Elder Statesman,1,4,20.0,2.0
381.0,-66.0,thehumanblob,0,4,0.0,1.0
381.0,-66.0,niimo,0,9,0.0,1.0
381.0,-66.0,Sav,0,4,0.0,1.0
381.0,-66.0,Abermega,0,2,0.0,1.0
381.0,New,Dorian uwu,0,12,0.0,1.0
381.0,-66.0,A HUMAN | Agile,0,5,0.0,1.0
381.0,-66.0,Wobs,0,4,0.0,1.0
381.0,-66.0,pr0j3cts,0,4,0.0,1.0
381.0,-66.0,sidewinder572,0,14,0.0,1.0
381.0,-66.0,Keppler,0,2,0.0,1.0
381.0,-66.0,Flippy,0,1,0.0,1.0
381.0,New,Hell'sLabyrinth,0,2,0.0,1.0
381.0,New,krizzy,0,3,0.0,1.0
381.0,-66.0,JoeyBonzo,0,3,0.0,1.0
381.0,-66.0,Dark Oreo Master,0,2,0.0,1.0
381.0,-66.0,Mars,0,3,0.0,1.0
381.0,-66.0,JackO,0,5,0.0,1.0
381.0,-66.0,DBRDd#641,0,9,0.0,1.0
381.0,-66.0,20PcMcnugget,0,4,0.0,1.0
381.0,-66.0,Tomato,0,17,0.0,1.0
381.0,New,Socknose,0,9,0.0,1.0
381.0,-66.0,trades,0,6,0.0,1.0
381.0,New,2Pro4Pro | Toastrmann,0,1,0.0,1.0
381.0,-66.0,JehL,0,5,0.0,1.0
381.0,-66.0,Pooptown,0,3,0.0,1.0
381.0,-66.0,mathandsurf,0,2,0.0,1.0
381.0,New,Luigi Gang | Brownie,0,2,0.0,1.0
381.0,-66.0,50 Rats in a Trenchcoat,0,7,0.0,1.0
381.0,-66.0,PeS | Puppy,0,1,0.0,1.0
381.0,-66.0,JC,0,5,0.0,1.0
381.0,-66.0,ASAPferq,0,4,0.0,1.0
381.0,New,SirTaco,0,2,0.0,1.0
381.0,-66.0,hellojoe34,0,2,0.0,1.0
381.0,New,Nayolfa,0,4,0.0,1.0
