SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,ChangeInRank
2143817,A HUMAN | Agile,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
2145653,doubledown8,49.0,77.0,91.0,123.0,152.0,173.0,-21.0
2147280,slowtai,NAN,68.0,82.0,64.0,78.0,102.0,-24.0
2148920,thicceon,NAN,NAN,NAN,NAN,NAN,173.0,NAN
2149456,Quadragesimus,105.0,116.0,130.0,184.0,188.0,195.0,-7.0
2154680,Godslayer903,71.0,84.0,97.0,129.0,158.0,182.0,-24.0
2156746,Wobs,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
2161709,SpiritGun,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
2167802,Bebop,NAN,166.0,178.0,244.0,280.0,339.0,-59.0
2172930,Sav,NAN,186.0,198.0,270.0,315.0,381.0,-66.0
2175146,Thumos,NAN,NAN,NAN,NAN,280.0,268.0,12.0
2177428,Chuchaka2112,78.0,112.0,126.0,176.0,211.0,234.0,-23.0
2178856,Abermega,124.0,186.0,198.0,270.0,315.0,381.0,-66.0
2179108,Mud,42.0,42.0,53.0,45.0,43.0,51.0,-8.0
2182633,sisig,NAN,152.0,165.0,224.0,263.0,312.0,-49.0
2184214,Joobey,NAN,NAN,NAN,NAN,280.0,339.0,-59.0
