SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,ChangeInRank
617254,N8V,50.0,81.0,99.0,160.0,191.0,217.0,248.0,280.0,-32.0
623333,ParkedInTraffic | Commas,NAN,NAN,NAN,NAN,NAN,NAN,148.0,174.0,-26.0
627118,Pipe,31.0,40.0,47.0,42.0,32.0,35.0,30.0,35.0,-5.0
641180,Luppi,NAN,81.0,99.0,160.0,191.0,217.0,248.0,212.0,36.0
657175,Bobakanoosh,NAN,NAN,NAN,140.0,172.0,151.0,174.0,204.0,-30.0
657464,CowCowCowCowCow,NAN,41.0,35.0,48.0,58.0,34.0,33.0,30.0,3.0
682345,Rive,NAN,NAN,NAN,NAN,85.0,100.0,88.0,102.0,-14.0
694497,IMP | Ben,NAN,NAN,NAN,NAN,19.0,11.0,8.0,7.0,1.0
694759,snek,NAN,NAN,NAN,150.0,172.0,196.0,215.0,242.0,-27.0
700566,olé,NAN,NAN,NAN,NAN,119.0,144.0,163.0,192.0,-29.0
703647,LVD | Super,NAN,NAN,NAN,NAN,207.0,234.0,267.0,300.0,-33.0
709843,Chem,14.0,22.0,29.0,41.0,51.0,59.0,66.0,72.0,-6.0
718293,Nico,NAN,69.0,85.0,140.0,172.0,196.0,223.0,252.0,-29.0
735376,CVSmashMods | Ripn,NAN,69.0,85.0,140.0,172.0,196.0,223.0,252.0,-29.0
748365,ledgefiend,NAN,NAN,NAN,NAN,NAN,NAN,NAN,300.0,NAN
782984,Blanks,NAN,NAN,NAN,NAN,NAN,NAN,223.0,252.0,-29.0
789026,Douglas.J.Gov,NAN,NAN,NAN,83.0,97.0,119.0,137.0,158.0,-21.0
843799,Snoos,NAN,NAN,NAN,NAN,NAN,234.0,267.0,300.0,-33.0
858866,SLO | GrizzlyBair,NAN,NAN,NAN,96.0,110.0,110.0,126.0,148.0,-22.0
862074,snacklepackle,NAN,NAN,NAN,101.0,55.0,51.0,56.0,63.0,-7.0
865922,SRN | Soulrifle211,NAN,NAN,NAN,NAN,NAN,196.0,223.0,252.0,-29.0
885830,HorseGirl420,NAN,NAN,NAN,NAN,172.0,179.0,203.0,231.0,-28.0
897815,moscow mich,NAN,NAN,73.0,112.0,135.0,156.0,179.0,212.0,-33.0
925369,Fishpaste,50.0,81.0,99.0,160.0,191.0,217.0,248.0,280.0,-32.0
927948,cliché,10.0,12.0,19.0,18.0,15.0,17.0,18.0,19.0,-1.0
956568,Night,NAN,NAN,NAN,NAN,NAN,210.0,223.0,252.0,-29.0
982735,MordecaiPielord,NAN,NAN,NAN,NAN,NAN,NAN,137.0,158.0,-21.0
1007304,Phorox,NAN,NAN,NAN,NAN,NAN,128.0,148.0,174.0,-26.0
1044913,Majora,NAN,NAN,NAN,NAN,NAN,NAN,NAN,300.0,NAN
1047164,lemon,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
1094290,SudoJoe,NAN,NAN,NAN,NAN,135.0,156.0,179.0,136.0,43.0
1099771,PP | Droze,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
1112770,Penguis,NAN,NAN,NAN,NAN,NAN,168.0,190.0,204.0,-14.0
1186877,Tomz,NAN,NAN,112.0,176.0,207.0,234.0,267.0,300.0,-33.0
1196449,RB | Cum Fox,NAN,NAN,NAN,NAN,NAN,NAN,NAN,95.0,NAN
1261759,melatonin,NAN,NAN,NAN,NAN,NAN,NAN,248.0,252.0,-4.0
1263692,ushi,NAN,NAN,NAN,NAN,164.0,156.0,119.0,136.0,-17.0
1301072,Melos,NAN,NAN,NAN,132.0,148.0,168.0,190.0,223.0,-33.0
1312079,ACAB | Mugen,NAN,NAN,NAN,NAN,207.0,234.0,267.0,300.0,-33.0
1315595,Sleeepy,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
1322460,8167263631 | Notto,NAN,NAN,NAN,176.0,207.0,234.0,267.0,300.0,-33.0
1325809,CB,NAN,NAN,NAN,NAN,110.0,137.0,158.0,185.0,-27.0
1501041,Hamburglar,NAN,NAN,NAN,NAN,NAN,168.0,190.0,223.0,-33.0
1551714,JCobbs,NAN,NAN,NAN,NAN,NAN,217.0,248.0,280.0,-32.0
1554675,NoFuxGiven,NAN,NAN,NAN,NAN,NAN,NAN,73.0,81.0,-8.0
1575919,Snickerdoodle,NAN,NAN,NAN,NAN,207.0,234.0,267.0,300.0,-33.0
1597042,Rome0,NAN,NAN,NAN,NAN,NAN,NAN,190.0,174.0,16.0
1598204,YoungHanSolo,NAN,NAN,NAN,NAN,135.0,156.0,179.0,212.0,-33.0
1623681,Xad,NAN,NAN,NAN,NAN,NAN,NAN,248.0,280.0,-32.0
1631004,Homeslice,NAN,NAN,NAN,NAN,NAN,NAN,NAN,242.0,NAN
1633823,ButterRoyaleTV,NAN,NAN,NAN,NAN,NAN,217.0,248.0,280.0,-32.0
1640788,Special K,NAN,NAN,NAN,NAN,185.0,196.0,223.0,252.0,-29.0
1655337,Drewski,NAN,NAN,NAN,NAN,NAN,179.0,203.0,231.0,-28.0
