SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7
213911,jtetter,NAN,NAN,NAN,NAN,NAN,4.0,12.0
217541,noChill,NAN,NAN,NAN,NAN,NAN,16.0,16.0
219919,Frozone,NAN,NAN,NAN,3.0,3.0,3.0,3.0
221423,Typhoon,NAN,NAN,NAN,NAN,NAN,23.0,66.0
223503,Rigo Bigo,NAN,6.0,6.0,6.0,6.0,6.0,6.0
228514,dabt,NAN,NAN,NAN,NAN,NAN,NAN,6.0
229216,KaiKwonDo,NAN,3.0,3.0,3.0,9.0,24.0,24.0
230537,hHerb,NAN,NAN,NAN,5.0,5.0,13.0,13.0
241260,Alex18+,3.0,13.0,13.0,13.0,26.0,26.0,26.0
250581,Fizz,NAN,73.0,73.0,136.0,136.0,136.0,136.0
253180,Yuki08,NAN,NAN,NAN,NAN,NAN,NAN,1.0
255496,ericiscool.net,2.0,2.0,14.0,14.0,14.0,25.0,25.0
257025,2Framez,11.0,15.0,15.0,15.0,15.0,15.0,15.0
259437,Daddy Icey,NAN,NAN,NAN,NAN,1.0,1.0,1.0
264211,BLM | Rats!,NAN,NAN,NAN,15.0,15.0,15.0,15.0
265808,NOOT,9.0,9.0,9.0,115.0,115.0,115.0,163.0
268767,markrevival,NAN,NAN,2.0,6.0,10.0,15.0,15.0
276041,Kettering,NAN,NAN,NAN,NAN,5.0,6.0,7.0
279722,EP | Justus,34.0,34.0,132.0,132.0,132.0,132.0,132.0
279871,KLAWHAU5,NAN,NAN,NAN,2.0,2.0,2.0,2.0
286517,Thad <3,10.0,16.0,16.0,21.0,21.0,26.0,26.0
288395,jams,5.0,5.0,5.0,5.0,5.0,5.0,5.0
294260,ABG | salami,28.0,28.0,28.0,28.0,28.0,28.0,28.0
301566,JustJoshin,NAN,4.0,13.0,13.0,13.0,13.0,13.0
310321,TC | BuyMyMixTape,NAN,NAN,NAN,8.0,8.0,8.0,8.0
312097,Nyte,NAN,NAN,NAN,NAN,NAN,NAN,15.0
312135,AlyJ,NAN,NAN,NAN,NAN,NAN,71.0,71.0
315101,Rozu,NAN,NAN,NAN,NAN,NAN,10.0,10.0
325974,SDJ,NAN,NAN,64.0,64.0,64.0,64.0,64.0
327212,Marrgasm,12.0,43.0,43.0,43.0,71.0,71.0,71.0
329160,ZUTH | Zuthane,NAN,NAN,3.0,3.0,3.0,3.0,3.0
329937,LanTurN,NAN,NAN,10.0,22.0,22.0,22.0,22.0
330200,TT | Dair,NAN,NAN,NAN,5.0,7.0,7.0,7.0
353165,Milo,15.0,15.0,15.0,15.0,15.0,15.0,15.0
357233,Afron,1.0,1.0,1.0,1.0,1.0,1.0,1.0
360229,BEBO,NAN,NAN,NAN,NAN,NAN,2.0,4.0
364725,LUNK#783 | dom,NAN,NAN,2.0,2.0,2.0,2.0,2.0
367758,Rose,NAN,NAN,NAN,1.0,1.0,1.0,1.0
370970,Mahik,NAN,NAN,NAN,NAN,NAN,NAN,29.0
391890,TheFormuoli,11.0,11.0,11.0,11.0,11.0,11.0,11.0
395730,PQ2 | CPU0,NAN,NAN,NAN,NAN,NAN,NAN,22.0
407878,Slump,8.0,8.0,8.0,8.0,8.0,8.0,8.0
413573,John,NAN,NAN,10.0,10.0,10.0,19.0,19.0
418257,CardsNG,NAN,NAN,NAN,NAN,NAN,NAN,10.0
418740,ManRay,NAN,NAN,NAN,NAN,NAN,8.0,8.0
420458,Jorge,NAN,NAN,NAN,17.0,17.0,17.0,17.0
424095,Frost | JJK,1.0,1.0,1.0,1.0,1.0,1.0,1.0
425209,Acuna,NAN,NAN,NAN,NAN,NAN,NAN,6.0
451734,CID,NAN,NAN,NAN,NAN,4.0,4.0,4.0
465131,Hunybear,17.0,17.0,17.0,17.0,17.0,17.0,17.0
478083,saacdaddy,NAN,NAN,NAN,4.0,4.0,4.0,4.0
483428,DCG | Spots,NAN,NAN,2.0,2.0,2.0,2.0,2.0
493224,Futz,NAN,NAN,NAN,NAN,4.0,4.0,4.0
508569,eh | sickø,NAN,NAN,6.0,6.0,6.0,6.0,6.0
508959,BCM | veggies,NAN,NAN,NAN,NAN,7.0,7.0,7.0
526019,CSR | Tezlik,NAN,NAN,NAN,NAN,12.0,12.0,12.0
528737,3OutChange,NAN,2.0,2.0,2.0,2.0,2.0,2.0
585236,306 | Amrak,11.0,61.0,188.0,188.0,188.0,188.0,188.0
617254,N8V,2.0,2.0,2.0,2.0,2.0,2.0,2.0
623333,ParkedInTraffic | Commas,NAN,NAN,NAN,NAN,NAN,NAN,12.0
627118,Pipe,11.0,25.0,25.0,47.0,79.0,86.0,108.0
641180,Luppi,NAN,2.0,2.0,2.0,2.0,2.0,2.0
657175,Bobakanoosh,NAN,NAN,NAN,4.0,4.0,9.0,9.0
657464,CowCowCowCowCow,NAN,18.0,40.0,40.0,40.0,91.0,104.0
682345,Rive,NAN,NAN,NAN,NAN,18.0,18.0,28.0
694497,IMP | Ben,NAN,NAN,NAN,NAN,123.0,269.0,407.0
694759,snek,NAN,NAN,NAN,3.0,4.0,4.0,5.0
700566,olé,NAN,NAN,NAN,NAN,10.0,10.0,10.0
703647,LVD | Super,NAN,NAN,NAN,NAN,1.0,1.0,1.0
709843,Chem,48.0,48.0,48.0,48.0,48.0,48.0,48.0
718293,Nico,NAN,4.0,4.0,4.0,4.0,4.0,4.0
735376,CVSmashMods | Ripn,NAN,4.0,4.0,4.0,4.0,4.0,4.0
782984,Blanks,NAN,NAN,NAN,NAN,NAN,NAN,4.0
789026,Douglas.J.Gov,NAN,NAN,NAN,14.0,14.0,14.0,14.0
843799,Snoos,NAN,NAN,NAN,NAN,NAN,1.0,1.0
858866,SLO | GrizzlyBair,NAN,NAN,NAN,11.0,11.0,15.0,15.0
862074,snacklepackle,NAN,NAN,NAN,10.0,43.0,60.0,60.0
865922,SRN | Soulrifle211,NAN,NAN,NAN,NAN,NAN,4.0,4.0
885830,HorseGirl420,NAN,NAN,NAN,NAN,4.0,6.0,6.0
897815,moscow mich,NAN,NAN,8.0,8.0,8.0,8.0,8.0
925369,Fishpaste,2.0,2.0,2.0,2.0,2.0,2.0,2.0
927948,cliché,67.0,95.0,95.0,118.0,142.0,155.0,174.0
956568,Night,NAN,NAN,NAN,NAN,NAN,3.0,4.0
982735,MordecaiPielord,NAN,NAN,NAN,NAN,NAN,NAN,14.0
1007304,Phorox,NAN,NAN,NAN,NAN,NAN,12.0,12.0
1047164,lemon,NAN,NAN,NAN,1.0,1.0,1.0,1.0
1094290,SDJ | SudoJoe,NAN,NAN,NAN,NAN,8.0,8.0,8.0
1099771,PP | Droze,NAN,NAN,NAN,1.0,1.0,1.0,1.0
1112770,Penguis,NAN,NAN,NAN,NAN,NAN,7.0,7.0
1186877,Tomz,NAN,NAN,1.0,1.0,1.0,1.0,1.0
1261759,melatonin,NAN,NAN,NAN,NAN,NAN,NAN,2.0
1263692,ushi,NAN,NAN,NAN,NAN,5.0,8.0,17.0
1301072,Melos,NAN,NAN,NAN,5.0,7.0,7.0,7.0
1312079,ACAB | Mugen,NAN,NAN,NAN,NAN,1.0,1.0,1.0
1315595,Sleeepy,NAN,NAN,NAN,1.0,1.0,1.0,1.0
1322460,8167263631 | Notto,NAN,NAN,NAN,1.0,1.0,1.0,1.0
1325809,CB,NAN,NAN,NAN,NAN,11.0,11.0,11.0
1501041,Hamburglar,NAN,NAN,NAN,NAN,NAN,7.0,7.0
1551714,JCobbs,NAN,NAN,NAN,NAN,NAN,2.0,2.0
1554675,NoFuxGiven,NAN,NAN,NAN,NAN,NAN,NAN,38.0
1575919,Snickerdoodle,NAN,NAN,NAN,NAN,1.0,1.0,1.0
1597042,Rome0,NAN,NAN,NAN,NAN,NAN,NAN,7.0
1598204,YoungHanSolo,NAN,NAN,NAN,NAN,8.0,8.0,8.0
1623681,Xad,NAN,NAN,NAN,NAN,NAN,NAN,2.0
