SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8
1186877.0,Tomz,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
1196449.0,RB | Cum Fox,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,17
1261759.0,melatonin,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1
1263692.0,ushi,3,0,-2.0,-2.0,-2.0,-2,-1,-1,-1,-2
1301072.0,Melos,2,0,-2.0,-2.0,-2.0,-1,-1,-2,-2,-2
1312079.0,ACAB | Mugen,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
1315595.0,Sleeepy,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
1322460.0,8167263631 | Notto,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
1325809.0,CB,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
1501041.0,Hamburglar,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
1551714.0,JCobbs,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
1554675.0,NoFuxGiven,1,1,-2.0,-2.0,-2.0,-2,-2,-2,17,-2
1575919.0,Snickerdoodle,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
1597042.0,Rome0,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1
1598204.0,YoungHanSolo,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
1623681.0,Xad,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
1631004.0,Homeslice,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
1633823.0,ButterRoyaleTV,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
1640788.0,Special K,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2
1655337.0,Drewski,1,0,-2.0,-2.0,-2.0,-2,-2,-1,-2,-2
1682252.0,BABA | shama,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
1682516.0,BABA | Babo,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
1729667.0,SlickSiwik,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
1794541.0,Chubbz,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
1833788.0,dust,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
1839605.0,DontTestMe,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,5
1940641.0,100 Days Of Solitude,1,0,-2.0,-2.0,-2.0,-2,-1,-2,-2,-2
1966716.0,LewdCelebs4Free,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1
